2.759685720000000,SPI,MOSI: 0x75;  MISO: 0x00
2.761303000000000,SPI,MOSI: 0xE1;  MISO: 0x2E-FLUSH_TX-
2.761321160000000,SPI,MOSI: 0x27;  MISO: 0x2E-WRITE_REGISTER-STATUS
2.761330920000000,SPI,MOSI: 0xF0;  MISO: 0x00
2.761345920000000,SPI,MOSI: 0xA0;  MISO: 0x0E-WRITE_TX_PAYLOAD-
2.761355920000000,SPI,MOSI: 0xF9;  MISO: 0x00
2.761365960000000,SPI,MOSI: 0xFD;  MISO: 0x00
2.761375960000000,SPI,MOSI: 0x90;  MISO: 0x00
2.761385960000000,SPI,MOSI: 0xFF;  MISO: 0x00
2.761396000000000,SPI,MOSI: 0x75;  MISO: 0x00
2.777576560000000,SPI,MOSI: 0x21;  MISO: 0x2E-WRITE_REGISTER-EN_AA
2.777586320000000,SPI,MOSI: 0x00;  MISO: 0x00
2.777605240000000,SPI,MOSI: 0x22;  MISO: 0x2E-WRITE_REGISTER-EN_RXADDR
2.777615000000000,SPI,MOSI: 0x01;  MISO: 0x00
2.777633920000000,SPI,MOSI: 0x23;  MISO: 0x2E-WRITE_REGISTER-SETUP_AW
2.777643680000000,SPI,MOSI: 0x02;  MISO: 0x00
2.777662600000000,SPI,MOSI: 0x24;  MISO: 0x2E-WRITE_REGISTER-SETUP_RETR
2.777672360000000,SPI,MOSI: 0x00;  MISO: 0x00
2.777691280000000,SPI,MOSI: 0x26;  MISO: 0x2E-WRITE_REGISTER-RF_SETUP
2.777701040000000,SPI,MOSI: 0x24;  MISO: 0x00
2.777719960000000,SPI,MOSI: 0x20;  MISO: 0x2E-WRITE_REGISTER-CONFIG
2.777729720000000,SPI,MOSI: 0x5E;  MISO: 0x00
2.777748640000000,SPI,MOSI: 0x31;  MISO: 0x2E-WRITE_REGISTER-RX_PW_P0
2.777758400000000,SPI,MOSI: 0x04;  MISO: 0x00
2.777773680000000,SPI,MOSI: 0x25;  MISO: 0x2E-WRITE_REGISTER-RF_CH
2.777783680000000,SPI,MOSI: 0x2B;  MISO: 0x00
2.777798200000000,SPI,MOSI: 0xE1;  MISO: 0x2E-FLUSH_TX-
2.777816400000000,SPI,MOSI: 0x27;  MISO: 0x2E-WRITE_REGISTER-STATUS
2.777826160000000,SPI,MOSI: 0xF0;  MISO: 0x00
2.777841200000000,SPI,MOSI: 0xA0;  MISO: 0x0E-WRITE_TX_PAYLOAD-
2.777851200000000,SPI,MOSI: 0xF9;  MISO: 0x00
2.777861240000000,SPI,MOSI: 0xFD;  MISO: 0x00
2.777871240000000,SPI,MOSI: 0x90;  MISO: 0x00
2.777881280000000,SPI,MOSI: 0xFF;  MISO: 0x00
2.777891320000000,SPI,MOSI: 0x75;  MISO: 0x00
2.779509480000000,SPI,MOSI: 0xE1;  MISO: 0x2E-FLUSH_TX-
2.779527640000000,SPI,MOSI: 0x27;  MISO: 0x2E-WRITE_REGISTER-STATUS
2.779537400000000,SPI,MOSI: 0xF0;  MISO: 0x00
2.779552400000000,SPI,MOSI: 0xA0;  MISO: 0x0E-WRITE_TX_PAYLOAD-
2.779562440000000,SPI,MOSI: 0xF9;  MISO: 0x00
2.779572440000000,SPI,MOSI: 0xFD;  MISO: 0x00
2.779582480000000,SPI,MOSI: 0x90;  MISO: 0x00
2.779592480000000,SPI,MOSI: 0xFF;  MISO: 0x00
2.779602520000000,SPI,MOSI: 0x75;  MISO: 0x00
2.795784480000000,SPI,MOSI: 0x21;  MISO: 0x2E-WRITE_REGISTER-EN_AA
2.795794240000000,SPI,MOSI: 0x00;  MISO: 0x00
2.795813120000000,SPI,MOSI: 0x22;  MISO: 0x2E-WRITE_REGISTER-EN_RXADDR
2.795822920000000,SPI,MOSI: 0x01;  MISO: 0x00
2.795841800000000,SPI,MOSI: 0x23;  MISO: 0x2E-WRITE_REGISTER-SETUP_AW
2.795851560000000,SPI,MOSI: 0x02;  MISO: 0x00
